ID,RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,New York,NY,New York-Newark-Jersey City,Queens County,1,,,,2250,2369,2300,2350,2500,2550,2499,2450,2200,2200,2400,2500,2500,2350,2300,2400,2300,2350,2430,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2613,2650,2699,2700,2640.5,2650,2700,2700,2650,2619,2600,2600,2600,2600,2650,2640,2300,2250,2295,2250,2275,2200,2200,2250,2295,2350,2375,2300,2250,2300,2300,2250,2200,2200,2200,2200,2200,2295,2300,2350,2350,2349,2400,2495,2400,2200,2250,2300,2300,2350,2375,2395,2395,2400,2400,2350,2300,2300,2300,2300,2300,2399,2400,2400,2400,2400,2400,2325,2300,2295,2300,2300,2350,2400,2400,2450,2450,2475,2475,2400,2400,2425
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,,,,,,,,1262.5,1267.5,1352.5,1295,1332,1350,1350,1362.5,1375,1350,1315,1290,1250,1250,1200,1275,1350,1400,1395,1420,1400,1395,1395,1450,1520,1528.5,1444,1450,1575,1588,1553,1550,1550,1475,1450,1495,1502,1375,1525,1495,1490,1450,1495,1580,1595,1650,1695,1700,1750,1725,1775,1755,1795,1795,1750,1795,1810,1800,1800,1845,1850,1852,1849,1990,1999,2021,2020,2006.5,1995,1959.5,1946.5,1995,1925,1930,1850,1966,2020,2100,2078,2076.5,2098,2150,2100,2121.5,2120.5,2095,2095,2069,2100,2100,1995,2115,2225,2270,2332,2333,2370,2350,2354,2362.5,2345,2360,2395,2370,2395,2395,2400,2425,2350,2330,2340
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1224,1125,1072,1105,1210,1212,1234.5,1200,1229,1245,1184,1199,1190,1200,1200,1225,1229,1225,1225,1225,1240,1240.5,1357.5,1355,1374,1295,1325,1300,1295,1281,1239,1195,1230,1170,1109,1150,1200,1230,1240,1250,1250,1220,1210,1229,1240,1250,1270,1283.5,1282,1308,1315,1315,1300,1300,1290,1292,1277,1272,1279,1265,1250,1250,1265,1270,1269,1286,1275,1275,1270,1264,1245,1249
3,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,,,,,,,,1355,1352,1394.5,1235,1275,1250,1283.5,1300,1375,1345,1300,1325,1329,1345,1381,1395,1341,1280,1250,1326.5,1395,1400,1400,1465,1500,1477,1500,1500,1600,1500,1550,1582,1600,1590,1594,1569,1545,1588,1642,1620,1549,1510,1498,1495,1544,1638,1525,1674,1700,1650,1495,1600,1658,1500.5,1500,1515,1500,1480,1492,1645,1724.5,1804,1724,1680,1737,1595,1545,1535,1505,1488,1495,1495,1495,1550,1550,1532,1500,1495,1495,1495,1495,1497,1525,1595,1610,1635,1596,1595,1595,1595,1600,1595,1595,1604,1614,1600,1595,1626,1640,1670,1675,1695,1650,1650,1634,1600,1582,1595,1542,1550,1550
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,,,,,655,597,595,595,595,600,640,650,650,639,670,675,685,715,732.5,695,685,680,679.5,730,725,708,715,695,711,715,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,796,786,787.5,780,775,780,789,785,790,779,773.5,775,775,783,795,795,800,850,850,825,820,850,825,800,820,804,820,834,790,807,779.5,810,835,840,850,909,900,886,885,899,900,893.5,900,899,957,938,929,947,961,950,965,950,945,958.5,945,952,983,985,981,985,999,1000,1000,991,985,974.5,967.5
5,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1000,1095,1250,1250,1250,1225,1145,1157,1100,1100,1075,1095,1165,1250,1225,1200,1162.5,1200,1150,1150,1205,1175,1200,1200,1250,1285,1350,1295,1295,1300,1267,1302.5,1289,1307,1275,1330,1350,1375,1400,1390,1395,1400,1395,1350,1352.5,1350,1350,1350,1475,1485,1495,1460,1495,1485,1495,1507,1565,1550,1550,1550,1550,1525,1496,1500,1507.5,1554,1495,1500,1500,1470
6,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,,,,,,,585,585,571,550,619.5,629,648,644.5,595,597,599,625,646,625,620,595,595,640,665,650,650,665,675,690,700,701,695,680,670,669,669,665.5,664.5,655,660,655,660,650,644,650,700,699,690,700,677,695,680,700,699,700,686.5,700,700,721,745,739,743.5,750,750,755,775,780,825,892,875,866.5,899,858,850,950,850,870,861,858,831,825,907,975,1145,1175,1095,1079.5,995,970,968,950,948,940,941.5,960,970,990,980,993.5,1000,1020,1014,1045,1040,1025,1033,1059,1055,1115.5,1172.5,1161,1129,1102.5,1122,1100,1110,1170
7,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,,,,,,,,,,,,,,,,,799,700,700,700,650,600,625,600,620,636,600,599,605,600,600,610,625,625,609,617,615,615,645,675,700,695,650,650,650,650,699,660,650,650,678,689,689,700,710,722.5,737,725,750,725,759,750,750,779,789,803,810,788,755,818.5,874,850,839,869,850,845,875,825,857.5,825,825,825,850,850,905,908,915,899,900,902,925,893,880,869,845,850,895,925,944,950,978,1004,1019,1000,1011.5,998,1000,1004,1002,1002.5,1010,1008,1026,1010,1040,1029.5,1030,1025,1028
8,San Diego,CA,San Diego-Carlsbad,San Diego County,9,,,,,,,,,,,,,1349,1295,1297.5,1250,1250,1350,1400,1462.5,1450,1300,1300,1350,1322.5,1363,1295,1295,1336,1305,1300,1350,1330,1345,1350,1345,1350,1355,1350,1345,1340,1300,1350,1375,1325,1250,1399,1450,1395,1385,1450,1625,1600,1595,1650,1615,1650,1685,1650,1690,1710,1655,1695,1695,1705,1735,1786,1800,1770,1750,1761,1750,1750,1765,1750,1700,1700,1850,1727,1811,1695,1715,1668,1750,1793,1804,1837,1874,1854,1895,1860,1871,1860,1825,1800,1825,1875,1875,2005,2040,2060,2036.5,2021,2000,2000,2044,2040,2020,2020,1995,1990,2000,2050,2100,2100,2100,2049.5,1995,2000
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,965,879,880,828,795,900,870,865,945,875,989,1014,975,965,1048.5,1025,1050,1084,1150,1059,1083,1083,1026,1096,1100,1050,1095,1107,1150,1159,1180,1144,1136,1164,1150,1179,1147,1115,1125,1150,1199.5,1200,1160,1129.5,1119,1153,1150,1169,1198.5,1199,1226,1200,1195,1195,1205,1255,1275,1250,1247,1265,1266,1237.5,1310,1275,1250,1210,1300,1293,1307,1306,1310,1320,1325,1350,1329,1310,1348,1325,1325,1371,1345,1334,1350,1361,1370,1370,1355,1375,1359,1345,1360,1398,1376,1375,1375,1360,1355,1330,1335,1340,1330,1340
10,Austin,TX,Austin-Round Rock,Travis County,11,,,,,,,,,,,,,895,865,844.5,945,925,860,830,845,875,920,895,915,935,945,935,950,930.5,895,871,930,920,915,886,860,880,859,875,874.5,876,895,900,925,949,995,997.5,999,975,1050,1104,1010,1000,1031,1032,1045,1039,1075,1010,1015,1049,1025,1070,1025,1020,1049,1069,1085,1090,1085.5,1093.5,1094,1094,1105,1100,1079,1099,1066,1075,1075,1041,1015,990,1065.5,1095,1091,1117,1150,1118.5,1104,1100,1099,1086,1099,1128,1130,1168,1185,1199,1205,1205,1202,1210,1220,1225,1228,1225,1275,1325,1278,1319,1350,1350,1349,1350,1350,1345,1345,1340
11,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1590,1600,1650,1587,1635,1550,1780.5,1735.5,1783,1728,1775,2011,1992.5,1974,1962,2060,2038,2060.5,2208,2196,2310,2315,2300,2315,2335,2340,2340,2430,2450.5,2497,2581,2617,2552.5,2530,2530,2525.5,2550,2541.5,2530,2465,2440,2439.5,2497,2387,2396.5,2331,2309.5,2350,2431,2435,2454,2485,2492,2504,2490,2468.5,2469,2400,2398,2417,2403,2425,2444,2465,2499,2557.5,2615,2597,2500,2551,2515,2495,2505,2525,2593,2615,2600,2685,2735,2705,2665,2640,2641,2635
12,Jacksonville,FL,Jacksonville,Duval County,13,,,,,,,,550,575,575,575,650,675,650,660,650,645,645,650,650,700,720,703,690,688,695,704,725,720,706,680,670.5,695,695,750,790,795,810,811,811,811,845,855,860,860,860,860,870,870,870,875,875,885,880,880,885,890,895,895,895,890,895,910,911,925,849.5,800,795,810,842,825,850,890,900,890,890,900,890,900,895,890,840,875,890,895,930,964.5,986,994,1005,950,979,995,997.5,1049,1039,1032,1075,1100,1176,1199,1210,1199,1175,1199,1245,1227.5,1194,1188.5,1176,1195,1185,1145,1160,1130,1120,1135.5,1159,1200
13,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,14,,,,,,,,,,,,,,,,,,,,,,,605,625,639,600,550,545,536,550,555,580,580,585,554,550,570,580,569.5,578.5,540,549,550,592.5,599,572.5,565,549,537.5,537.5,554,565,565,565,568,585,580,573,569,566,585,600,662,669,659.5,670.5,649.5,699,699,724.5,710,710,710,729,744,775,725,740,715,765,732.5,763.5,750,772.5,755,775,816,750,750,775,749,725,729,725,732.5,740,760,775,785,779,790,800,799,844.5,856,850,874,867,884,879.5,879,859,850,829,825,827,810,827,835
14,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,15,,,,,,,,,,,,,2000,1995,2050,2150,2125,2400,2550,2797.5,2690,2700,2490,2606.5,2690,2710,2650,2700,2797.5,2790,2680,2715,2750,2775,2800,2800,2785,2800,2846,3000,2985,2985,2954,2937.5,2900,2995,3049,3125,3000,2995,3064,3250,3295,3270,3315.5,3350,3379.5,3379,3419,3500,3500,3495,3500,3500,3600,3495,3552.5,3507,3500,3495,3402.5,3632,3638,3600,3600,3601,3518,3450,3338,3300,3223,3223.5,3100,3250,3295,3295,3306,3376,3400,3433,3387,3312,3295,3349,3303.5,3300,3395,3400,3405,3429.5,3475,3476.5,3495,3495,3495,3474,3426,3495,3500,3500,3534,3600,3641.5,3615,3600,3650,3580,3499,3500
15,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,925,925,950,939,920,935,1000,1050,1000,1027,980,995,995,999.5,1075,1039,1039,1070,1085,1043,1064,1059,1066.5,1071,1066,1025,1070,1205,1273,1190,1202,1230,1260,1155.5,1265,1259,1200,1165,1240,1179,1255,1260,1189,1199,1156,1175,1195,1200,1249,1242,1253,1295,1275,1280,1300,1290,1295,1279,1295,1299,1329,1331,1321,1359,1325,1315,1335,1325,1375,1370,1375,1346,1365,1371
16,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,,,,,,,,,,,,,,,,,650,705,661,650,649.5,617,619,650,699,699,665,671,700,699,723,700,700,699,700,700,699,708,707,735,726,728.5,706,749,737,670,751,793,775.5,775,834.5,799.5,801.5,771,776,756,781,830,850,885,925,922,902,899,869,869,942.5,932,976,951.5,954,950,959,997,989.5,1037,1010.5,982.5,1050,1022,965,1011,946.5,1030.5,1025,1084,1210.5,1169,1215,1210,1220,1228,1204,1208,1220,1200,1220,1214,1212,1220,1200.5,1260,1320,1325,1349,1340,1353,1350,1345,1345,1350,1344,1300,1293,1280,1266,1250,1250,1260
17,Tucson,AZ,Tucson,Pima County,18,,,,,,,,,,,,,495,495,550,525,500,500,515,525,500,499,500,509,509,500,525,529,525,525,539,528,523,525,525,520,520,515,499,499,495,500,500,485,495,479,480,495,495,499.5,520,500,525,510,525,525,525,525,515,512,529,525,529,529,527,535,525,525,527,605,556,560,552,559,550,550,525,569,579,536,572.5,575,588.5,575,600,604,600,629,629,639,620,599,600,600,615,622,625,625,625,625,644,639,639,620,625,629.5,635,650,650,660,695,680,675,680,695,707.5,700,700,695
18,Columbus,OH,Columbus,Franklin County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,549,549,579,565,595,599,599,565.5,562,525,525,535,549.5,569,575,575,645,665,636.5,660,715,679,629,599,649,699,699,699,721,759,756.5,780,775,772,665,669,740,749,749,750,742,799,825,815,850,791.5,850,760,800,729.5,769,790,825,880,850,898.5,895,820,780,750,815,850,875,898.5,899,925,925,935,915,850,874,875,850,852.5,860,885,885,915,917,900,955,905,960,900,930
19,Louisville,KY,Louisville/Jefferson County,Jefferson County,20,,,,,,,,,,,,,,,,,585,599.5,599,584,565,575,624.5,592,520,525,600,650,625,600,600,650,750,795,788.5,750,752.5,752.5,750,665,650,658.5,690,700,695,695,699,675,750,750,800,900,800,850,790,750,710,717.5,725,710,699,699.5,700,725,750,722.5,725,720,720,751,725,735,750,780,782.5,770,795,849.5,765,795,760,750,789.5,820,825,825,800,825,850,875,850,850,825,807,825,856,945,943,989.5,943.5,922,910,912,880,852,850,850,849,875,875,904.5,945,927.5,900,895,900,924,925,935
20,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,21,,,,,,,,,,635,625,705,700,700,725,695,700,700,750,750,750,760,775,767.5,765,780,793,800,800,800,800,760,800,800,790,800,790,809,799,836,800,825,825,819,819,825,825,809,825,812.5,825,853,850,833.5,850,875,850,825,865,885.5,863.5,895,911,900,875,941,970,978.5,1010,1059,1065,1050,1019,1013,1039.5,1050,1058,1070,1050,1101,1074,1042,1056.5,1089.5,1068,1071,1089,1129,1169,1189,1179,1168.5,1166,1226.5,1246,1239,1240,1269,1300,1239,1327,1352,1350,1340,1321,1324.5,1320,1317,1330,1310,1310,1339,1357,1350,1337,1305,1316.5,1340,1345
21,El Paso,TX,El Paso,El Paso County,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,650,650,585,600,625,675,675,675,623.5,617,577.5,550,530,595,575,590.5,594,603,617,645,595,608,618,561.5,567,599,571,575,569,550,550,550,560,550,550,552.5,556.5,574,588,595,595,598.5,599,595,590,616.5,600,640,697.5,702.5,725,715,700,725,725,689,725,699.5,680,650,625,630,610
22,Denver,CO,Denver-Aurora-Lakewood,Denver County,23,,,,,,,,,,,,,,,,,,,,,,,950,925,975,1055,1069,1057.5,1050,1010,1055,1095,1095,1080,1100,1050,1120,1105,1125,990,990,1065,1100,1050,1059,1082,1220,1188.5,1150,1125,1200,1245,1213.5,1316,1395,1431.5,1395,1430,1417,1426.5,1450,1435,1450,1450,1475,1480,1500,1503,1465,1461,1455,1440,1450,1428,1385,1410,1400,1399,1490,1399,1314.5,1315,1337,1350,1379,1525,1585,1580,1563,1590,1600,1600,1600,1628,1605,1585,1620,1600,1611.5,1600,1610,1650,1649,1625,1600,1591,1580,1579,1565,1593,1638,1683,1715,1684.5,1669,1658,1676,1686,1682
